event_id,time_utc,latitude,longitude,depth_km,magnitude,magnitude_type,distance_from_reference_km,author,catalog,contributor,contributor_id,magnitude_author,location_name,source
41627332,2025-02-01T06:14:26.250Z,40.831500,14.142167,1.600000,1.400000,Md,0.165492,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41609442,2025-02-01T06:16:40.779Z,40.832833,14.146000,2.400000,1.200000,Md,0.509988,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41609512,2025-02-01T06:18:13.640Z,40.834333,14.146833,2.500000,2.200000,Md,0.640823,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41609572,2025-02-01T06:20:09.349Z,40.832167,14.146667,2.100000,1.000000,Md,0.549125,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41609832,2025-02-01T06:53:28.349Z,40.832333,14.140167,1.900000,1.100000,Md,0.092667,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41623982,2025-02-03T19:06:35.220Z,40.815500,14.107000,3.000000,1.300000,Md,3.312012,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063251,2025-02-04T03:25:26.049Z,40.834500,14.093000,1.800000,1.200000,Md,3.985030,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41631972,2025-02-05T07:11:48.809Z,40.827500,14.144000,2.100000,1.100000,Md,0.547768,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632152,2025-02-05T07:17:20.200Z,40.828333,14.145833,2.100000,1.000000,Md,0.590450,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632262,2025-02-05T07:21:44.819Z,40.827667,14.145833,2.200000,1.600000,Md,0.637398,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
