experiment_id,window_id,relation_id,source_id,target_id,id02_status,null_id,observed_strength,observed_absolute_strength,paired_observation_count,requested_repetitions,estimable_repetitions,null_admissible,non_admissible_reason,null_mean_absolute_strength,null_median_absolute_strength,null_q95_absolute_strength,empirical_p_value,id02_status_modified,corrected_p_value,passes_alpha_0_05,passes_alpha_0_10
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,independent_block_permutation,0.9858583829,0.9858583829,6076,300,300,True,,0.04843505481,0.03743599573,0.1285242663,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,within_window_value_permutation,0.9858583829,0.9858583829,6076,300,300,True,,0.009847538825,0.008429464944,0.02274843889,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,circular_temporal_shift,-0.4366162893,0.4366162893,3853,300,300,True,,0.05026907574,0.04138452217,0.109615155,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,independent_block_permutation,-0.4366162893,0.4366162893,3853,300,300,True,,0.04681083236,0.03710855326,0.1219218958,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,within_window_value_permutation,-0.4366162893,0.4366162893,3853,300,300,True,,0.01267114992,0.01006732585,0.03223914326,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,circular_temporal_shift,-0.4042337978,0.4042337978,3853,300,300,True,,0.05032549839,0.0453414844,0.1091356831,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,independent_block_permutation,-0.4042337978,0.4042337978,3853,300,300,True,,0.04692241882,0.0371561283,0.1141522229,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,within_window_value_permutation,-0.4042337978,0.4042337978,3853,300,300,True,,0.01317020752,0.01037687308,0.03195981844,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,circular_temporal_shift,0.2688861285,0.2688861285,3853,300,300,True,,0.04664031342,0.04410675892,0.1048204335,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,independent_block_permutation,0.2688861285,0.2688861285,3853,300,300,True,,0.04904924604,0.04083942646,0.1293359318,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,within_window_value_permutation,0.2688861285,0.2688861285,3853,300,300,True,,0.01193013709,0.01011067966,0.0284706488,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,circular_temporal_shift,0.4993867358,0.4993867358,3853,300,300,True,,0.05355526821,0.04760615384,0.1153011175,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,independent_block_permutation,0.4993867358,0.4993867358,3853,300,300,True,,0.05475953251,0.04661569132,0.1295484054,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,1d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,within_window_value_permutation,0.4993867358,0.4993867358,3853,300,300,True,,0.01305515095,0.01113143611,0.03063335831,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,circular_temporal_shift,-0.4485559896,0.4485559896,8707,300,300,True,,0.2131310259,0.2098256603,0.4215512538,0.02990033223,False,0.05520061334,False,True
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,independent_block_permutation,-0.4485559896,0.4485559896,8707,300,300,True,,0.1715187457,0.150673633,0.4094374058,0.02657807309,False,0.04556241101,True,True
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,within_window_value_permutation,-0.4485559896,0.4485559896,8707,300,300,True,,0.008546110729,0.007795536219,0.02015049257,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,circular_temporal_shift,-0.7624175354,0.7624175354,8707,300,300,True,,0.2013185584,0.194273726,0.4403053837,0.003322259136,False,0.007973421927,True,True
