experiment_id,window_id,relation_id,source_id,target_id,id02_status,observed_strength,observed_absolute_strength,primary_nulls_admissible_count,primary_nulls_passed_alpha_0_05,primary_nulls_passed_alpha_0_10,null_outcome,primary_null_margin,minimum_one_primary_null_exceeded,id02_status_modified,null_circular_temporal_shift_admissible,null_circular_temporal_shift_estimable_repetitions,null_circular_temporal_shift_median_absolute_strength,null_circular_temporal_shift_q95_absolute_strength,null_circular_temporal_shift_empirical_p_value,null_circular_temporal_shift_corrected_p_value,null_circular_temporal_shift_passes_0_05,null_independent_block_permutation_admissible,null_independent_block_permutation_estimable_repetitions,null_independent_block_permutation_median_absolute_strength,null_independent_block_permutation_q95_absolute_strength,null_independent_block_permutation_empirical_p_value,null_independent_block_permutation_corrected_p_value,null_independent_block_permutation_passes_0_05,null_within_window_value_permutation_admissible,null_within_window_value_permutation_estimable_repetitions,null_within_window_value_permutation_median_absolute_strength,null_within_window_value_permutation_q95_absolute_strength,null_within_window_value_permutation_empirical_p_value,null_within_window_value_permutation_corrected_p_value,null_within_window_value_permutation_passes_0_05
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,-0.7624175354,0.7624175354,3,3,3,exceeds_null,0.6394160511,True,False,True,300,0.194273726,0.4403053837,0.003322259136,0.007973421927,True,True,300,0.1676053597,0.4531474501,0.003322259136,0.007973421927,True,True,300,0.007125367121,0.02230039476,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,0.3148075384,0.3148075384,3,1,1,partially_exceeds_null,0.2095380878,True,False,True,300,0.175985315,0.5006619361,0.1561461794,0.1784527765,False,True,300,0.1321649342,0.364406867,0.1129568106,0.1426822871,False,True,300,0.007658102529,0.02132965701,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,0.2076225819,0.2076225819,3,1,1,partially_exceeds_null,0.09705570883,True,False,True,300,0.1762084172,0.4910789412,0.3122923588,0.3406825732,False,True,300,0.1484682626,0.4028050528,0.3355481728,0.3355481728,False,True,300,0.007023939386,0.02155822778,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,-0.2924734839,0.2924734839,3,1,1,partially_exceeds_null,0.15728186,True,False,True,300,0.2211713767,0.5014953542,0.3820598007,0.3820598007,False,True,300,0.1774851546,0.4087890923,0.1860465116,0.1941354904,False,True,300,0.006918340208,0.0214877564,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,-0.784506337,0.784506337,3,3,3,exceeds_null,0.6695327833,True,False,True,300,0.1925445259,0.4630729111,0.003322259136,0.007973421927,True,True,300,0.1449084165,0.4260605439,0.003322259136,0.007973421927,True,True,300,0.007467718686,0.01998510614,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,-0.3093456145,0.3093456145,3,1,1,partially_exceeds_null,0.1717979435,True,False,True,300,0.250694999,0.5116263267,0.3488372093,0.3640040445,False,True,300,0.1546580192,0.4076120758,0.1428571429,0.1632653061,False,True,300,0.007289994838,0.01868582733,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,0.7035004302,0.7035004302,3,3,3,exceeds_null,0.6011249401,True,False,True,300,0.1566681123,0.4181037849,0.003322259136,0.007973421927,True,True,300,0.1421182984,0.4306775039,0.003322259136,0.007973421927,True,True,300,0.00834005958,0.02209738196,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,-0.3524839608,0.3524839608,3,1,2,partially_exceeds_null,0.2569744865,True,False,True,300,0.1494525087,0.3189953627,0.02990033223,0.05520061334,False,True,300,0.1297307439,0.3874576746,0.1063122924,0.1417497231,False,True,300,0.007345170442,0.02151384508,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,-0.2739458103,0.2739458103,3,1,1,partially_exceeds_null,0.183544232,True,False,True,300,0.1316616727,0.2964369451,0.09634551495,0.1156146179,False,True,300,0.1316379762,0.3669652425,0.1262458472,0.1514950166,False,True,300,0.007905086243,0.0217101484,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,0.5475655167,0.5475655167,3,3,3,exceeds_null,0.4247830466,True,False,True,300,0.2129882705,0.4158152572,0.003322259136,0.007973421927,True,True,300,0.1479839009,0.4493520406,0.009966777409,0.01993355482,True,True,300,0.007375239058,0.02003438848,0.003322259136,0.003322259136,True
