experiment_id,window_id,relation_id,source_id,target_id,id02_status,source_provenance_class,target_provenance_class,source_family,target_family,shared_source_variables,dependency_status,dependency_rule,directly_derived_flag,definitionally_constrained_flag,id02_status_modified
CGIE3_ID_03,7d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,rejected,aggregate_observation,derived_spatial_quantity,event_membership,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,eligible,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,derived_temporal_quantity,derived_physical_quantity,event_timing,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,eligible,derived_temporal_quantity,distribution_summary,event_timing,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,rejected,derived_temporal_quantity,distribution_summary,event_timing,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,candidate,derived_temporal_quantity,derived_spatial_quantity,event_timing,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,7d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,derived_physical_quantity,distribution_summary,magnitude_energy,magnitude,event_magnitude,partially_derived,explicit_potential_direct_dependency,False,True,False
