experiment_id,window_id,relation_id,source_id,target_id,id02_status,nominal_sample_count,half_stride_sample_count,nonoverlap_sample_count,rolling_strength,half_stride_strength,nonoverlap_strength,rolling_sign,half_stride_sign,nonoverlap_sign,half_stride_absolute_strength_change,nonoverlap_absolute_strength_change,nonoverlap_sign_preserved,rolling_bootstrap_ci_width,half_stride_bootstrap_ci_width,nonoverlap_bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,effective_support_diagnostic,overlap_class,strongly_overlap_sensitive_flag,nonoverlap_estimable,id02_status_modified
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,8719,24,12,0.2076225819,0.1630983936,0.1719308829,1,1,1,0.04452418826,0.03569169895,True,0.4106953803,1.207591716,1.092985372,0.9999138432,0.9981598913,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,8719,24,12,-0.2924734839,-0.3434518651,-0.1058242205,-1,-1,-1,0.05097838124,0.1866492634,True,0.4157010359,0.9853247271,1.126987429,0.9999138432,0.9989476926,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,8707,24,12,-0.784506337,-0.7617391304,-0.6433566434,-1,-1,-1,0.02276720661,0.1411496937,True,0.1963249546,0.5551234483,0.9661937926,0.9999138432,0.9972811975,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,8707,24,12,-0.3093456145,-0.3582608696,-0.1188811189,-1,-1,-1,0.04891525508,0.1904644956,True,0.3678456312,0.8900894378,0.9905312786,0.9999138432,0.9991111308,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,8671,24,12,0.7035004302,0.6434782609,0.6013986014,1,1,1,0.06002216932,0.1021018288,True,0.2021170507,0.6109639795,0.7899379449,0.9999138432,0.999343589,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,8707,24,12,-0.3524839608,-0.36,-0.1188811189,-1,-1,-1,0.007516039163,0.233602842,True,0.3575153222,0.7608358852,0.9805435555,0.9974650069,0.9986314761,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,8707,24,12,-0.2739458103,-0.2925276818,-0.1087725994,-1,-1,-1,0.01858187152,0.1651732109,True,0.3582758787,0.8732093367,0.9405406427,0.9974650069,0.9981598913,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,8707,24,12,0.5475655167,0.6161930522,0.5890881609,1,1,1,0.06862753543,0.04152264411,True,0.2596690078,0.4305561861,0.7499014067,0.9974650069,0.9989476926,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,8707,24,12,0.9768087719,1,1,1,1,1,0.02319122813,0.02319122813,True,0.06927288676,1.110223025e-16,1.110223025e-16,0.9974650069,0.9972811975,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,8707,24,12,0.6003236393,0.6382608696,0.3986013986,1,1,1,0.03793723026,0.2017222407,True,0.2708404139,0.537218197,0.8685646974,0.9974650069,0.9991111308,12,moderately_overlap_sensitive,False,True,False
