experiment_id,relation_id,source_id,target_id,estimator_id,direction,status,estimability,strength,absolute_strength,sign,uncertainty,sample_count,persistence,window_id,timestamp_utc,p_value,non_estimable_reason
CGIE3_ID_02,spearman::maximum_magnitude--median_depth_km,maximum_magnitude,median_depth_km,spearman,undirected,candidate,estimable,-0.0726415037,0.0726415037,-1,,6076,,1d,2025-12-31T23:00:00+00:00,1.439391746e-08,
CGIE3_ID_02,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.4042337978,0.4042337978,-1,,3853,,1d,2025-12-31T23:00:00+00:00,2.018813066e-151,
CGIE3_ID_02,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,spearman,undirected,candidate,estimable,-0.1686511803,0.1686511803,-1,,3853,,1d,2025-12-31T23:00:00+00:00,5.602225858e-26,
CGIE3_ID_02,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,spearman,undirected,candidate,estimable,0.214924638,0.214924638,1,,3853,,1d,2025-12-31T23:00:00+00:00,1.683044904e-41,
CGIE3_ID_02,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.2688861285,0.2688861285,1,,3853,,1d,2025-12-31T23:00:00+00:00,8.3482942e-65,
CGIE3_ID_02,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.4993867358,0.4993867358,1,,3853,,1d,2025-12-31T23:00:00+00:00,3.341106051e-242,
CGIE3_ID_02,spearman::depth_mad_km--event_count,depth_mad_km,event_count,spearman,undirected,candidate,estimable,0.100376192,0.100376192,1,,8707,,30d,2025-12-31T23:00:00+00:00,6.079872422e-21,
CGIE3_ID_02,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,spearman,undirected,candidate,estimable,-0.05250887782,0.05250887782,-1,,8707,,30d,2025-12-31T23:00:00+00:00,9.469668795e-07,
CGIE3_ID_02,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,0.1589628733,0.1589628733,1,,8707,,30d,2025-12-31T23:00:00+00:00,2.23596044e-50,
CGIE3_ID_02,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,spearman,undirected,candidate,estimable,0.2029324391,0.2029324391,1,,8707,,30d,2025-12-31T23:00:00+00:00,1.352362708e-81,
CGIE3_ID_02,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,candidate,estimable,-0.4485559896,0.4485559896,-1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.07987057688,0.07987057688,-1,,8707,,30d,2025-12-31T23:00:00+00:00,8.413655282e-14,
CGIE3_ID_02,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,spearman,undirected,candidate,estimable,-0.1237233121,0.1237233121,-1,,8707,,30d,2025-12-31T23:00:00+00:00,4.758975397e-31,
CGIE3_ID_02,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,spearman,undirected,candidate,estimable,0.1628290963,0.1628290963,1,,8671,,30d,2025-12-31T23:00:00+00:00,1.367241454e-52,
CGIE3_ID_02,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,spearman,undirected,candidate,estimable,-0.7624175354,0.7624175354,-1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,0.3148075384,0.3148075384,1,,8719,,30d,2025-12-31T23:00:00+00:00,7.641809013e-200,
CGIE3_ID_02,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,spearman,undirected,candidate,estimable,0.2076225819,0.2076225819,1,,8719,,30d,2025-12-31T23:00:00+00:00,1.607429443e-85,
CGIE3_ID_02,spearman::event_count--median_depth_km,event_count,median_depth_km,spearman,undirected,candidate,estimable,-0.2924734839,0.2924734839,-1,,8719,,30d,2025-12-31T23:00:00+00:00,1.584897242e-171,
CGIE3_ID_02,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.784506337,0.784506337,-1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,spearman,undirected,candidate,estimable,-0.3093456145,0.3093456145,-1,,8707,,30d,2025-12-31T23:00:00+00:00,2.006684154e-192,
CGIE3_ID_02,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,spearman,undirected,candidate,estimable,0.7035004302,0.7035004302,1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,-0.3524839608,0.3524839608,-1,,8707,,30d,2025-12-31T23:00:00+00:00,4.027675094e-253,
CGIE3_ID_02,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,spearman,undirected,candidate,estimable,-0.2739458103,0.2739458103,-1,,8707,,30d,2025-12-31T23:00:00+00:00,1.07405247e-149,
CGIE3_ID_02,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,spearman,undirected,candidate,estimable,0.5475655167,0.5475655167,1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,spearman,undirected,candidate,estimable,0.9768087719,0.9768087719,1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.6003236393,0.6003236393,1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,spearman,undirected,candidate,estimable,-0.8709167861,0.8709167861,-1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,spearman,undirected,candidate,estimable,0.9721793308,0.9721793308,1,,8719,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--median_depth_km,log10_cumulative_energy_joule,median_depth_km,spearman,undirected,candidate,estimable,-0.02590116676,0.02590116676,-1,,8719,,30d,2025-12-31T23:00:00+00:00,0.01558055155,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.3744843013,0.3744843013,-1,,8707,,30d,2025-12-31T23:00:00+00:00,5.47695398e-288,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--spatial_dispersion_km,log10_cumulative_energy_joule,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.01126630962,0.01126630962,1,,8707,,30d,2025-12-31T23:00:00+00:00,0.2931867187,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,spearman,undirected,candidate,estimable,0.4489356734,0.4489356734,1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::maximum_magnitude--median_depth_km,maximum_magnitude,median_depth_km,spearman,undirected,candidate,estimable,0.01251189597,0.01251189597,1,,8719,,30d,2025-12-31T23:00:00+00:00,0.2427326212,
CGIE3_ID_02,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.2956620938,0.2956620938,-1,,8707,,30d,2025-12-31T23:00:00+00:00,3.53310127e-175,
CGIE3_ID_02,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.05434841402,0.05434841402,1,,8707,,30d,2025-12-31T23:00:00+00:00,3.888354904e-07,
CGIE3_ID_02,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,spearman,undirected,candidate,estimable,0.3919860475,0.3919860475,1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,spearman,undirected,candidate,estimable,0.5453375348,0.5453375348,1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.7668159829,0.7668159829,1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::median_depth_km--temporal_burstiness,median_depth_km,temporal_burstiness,spearman,undirected,candidate,estimable,-0.4632665345,0.4632665345,-1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.6227898219,0.6227898219,1,,8707,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,spearman,undirected,candidate,estimable,-0.8710282538,0.8710282538,-1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,spearman,undirected,candidate,estimable,-0.4276225484,0.4276225484,-1,,8671,,30d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::depth_mad_km--event_count,depth_mad_km,event_count,spearman,undirected,candidate,estimable,0.1534963808,0.1534963808,1,,7429,,3d,2025-12-31T23:00:00+00:00,2.113218056e-40,
