date_utc,n_events,max_mag,mag_n,cnt_n,prob,prob_delta,memory,prob_delta_1,prob_delta_2,coherence,strong_coherence,prob_var_3,prob_var_5,stability,coherence_score,quality_score
2024-04-15 00:00:00+00:00,1.0,0.5,0.5555555555555556,1.0,0.5314915927996202,0.5314915927996202,0.3422222222222222,0.0,0.0,False,False,0.0,0.0,1.0,0.41526330378651477,0.5670791297331434
2024-04-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.10042155954989562,-0.4310700332497246,0.26693333333333336,0.5314915927996202,0.0,False,False,0.0,0.0,1.0,0.22024862381995824,0.34025077977494783
2024-04-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09811130809352317,-0.002310251456372453,0.20820800000000003,-0.4310700332497246,0.5314915927996202,False,False,0.06227419699994134,0.0,0.6162409172176408,0.16333101495917335,0.2343470833511718
2024-04-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09634231298472526,-0.0017689951087979106,0.16240224000000003,-0.002310251456372453,-0.4310700332497246,False,False,4.1844763376710936e-06,0.0,0.9999581569875342,0.18725341289264355,0.32252103173924623
2024-04-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09498233368245286,-0.0013599793022723988,0.12667374720000002,-0.0017689951087979106,-0.002310251456372453,False,False,2.4615613771071817e-06,0.037680070290846364,0.8414498413535761,0.16014004176833876,0.2768546892596205
2024-04-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09393350407200166,-0.0010488296104512046,0.09880552281600002,-0.0013599793022723988,-0.0017689951087979106,False,False,1.4586579387224859e-06,6.639168744350131e-06,0.9999522198599418,0.16721028045959485,0.31177563542338627
2024-04-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0931226355504561,-0.0008108685215455491,0.07706830779648002,-0.0010488296104512046,-0.0013599793022723988,False,False,8.693380755157229e-07,3.924749002933287e-06,0.9999716836760669,0.16036671492673316,0.3081144848637168
2024-04-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09249452406298317,-0.0006281114874729377,0.06011328008125442,-0.0008108685215455491,-0.0010488296104512046,False,False,5.204492110388253e-07,2.3347059555222585e-06,0.9999831222629747,0.15503010587586707,0.3052600346094234
2024-04-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09200724109608946,-0.00048728296689370953,0.046888358463378445,-0.0006281114874729377,-0.0008108685215455491,False,False,3.126789198835078e-07,1.395681354562815e-06,0.9999898949061422,0.15086839346806355,0.3030343480440871
2024-04-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09162876317062912,-0.00037847792546033543,0.03657291960143519,-0.00048728296689370953,-0.0006281114874729377,False,False,1.883720254273327e-07,8.375503284821807e-07,0.9999939285649659,0.14762277400517881,0.30129880166677137
2024-04-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09133452276495152,-0.0002942404056776038,0.02852687728911945,-0.00037847792546033543,-0.00048728296689370953,False,False,1.1372881823197596e-07,5.041296691863867e-07,0.9999963420768523,0.14509150650040167,0.29994537849505676
2024-04-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09110560553220683,-0.00022891723274469367,0.02225096428551317,-0.0002942404056776038,-0.00037847792546033543,False,False,6.877907172819399e-08,3.0415504612921146e-07,0.9999977914389299,0.14311731064242966,0.29888989526866283
2024-04-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09092740859761454,-0.00017819693459228403,0.017355752142700274,-0.00022891723274469367,-0.0002942404056776038,False,False,4.1649865356805104e-08,1.838424584028145e-07,0.9999986642908385,0.14157755551093976,0.298066733192922
2024-04-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09078863280926446,-0.0001387757883500873,0.013537486671306213,-0.00017819693459228403,-0.00022891723274469367,False,False,2.5247428994759062e-08,1.1128070272271496e-07,0.9999991911228506,0.1403766182373827,0.2974247371860408
2024-04-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0906805200764365,-0.00010811273282795852,0.010559239603618847,-0.0001387757883500873,-0.00017819693459228403,False,False,1.5316837378332654e-08,6.743424642436909e-08,0.9999995096606347,0.13943993087772372,0.29692402339391977
2024-04-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09059627261966155,-8.424745677494683e-05,0.008236206890822701,-0.00010811273282795852,-0.0001387757883500873,False,False,9.29807324424189e-09,4.089978258511255e-08,0.9999997025204431,0.13870934136715576,0.296533492973565
2024-05-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09053060853274042,-6.566408692113002e-05,0.006424241374841707,-8.424745677494683e-05,-0.00010811273282795852,False,False,5.64714619439804e-09,2.4823209930483798e-08,0.999999819412521,0.1381394977668008,0.2962288953257267
2024-05-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09047942029860723,-5.118823413319262e-05,0.005010908272376532,-6.566408692113002e-05,-8.424745677494683e-05,False,False,3.4310787515761378e-09,1.507392037741937e-08,0.9999998903196226,0.1376950296331181,0.29599131897006575
2024-05-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09043951157101437,-3.9908727592852244e-05,0.003908508452453695,-5.118823413319262e-05,-6.566408692113002e-05,False,False,2.0852663727139014e-09,9.157459350732218e-09,0.9999999333600438,0.13734835050014624,0.2958060153933862
2024-05-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09040839376914006,-3.111780187431412e-05,0.003048636592913882,-3.9908727592852244e-05,-5.118823413319262e-05,False,False,1.2676319947551185e-09,5.564992908813079e-09,0.9999999594987171,0.13707794443540192,0.2956614822481864
2024-05-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09038412857791575,-2.42651912243097e-05,0.002377936542472828,-3.111780187431412e-05,-3.9908727592852244e-05,False,False,7.707321620024173e-10,3.3827048355272586e-09,0.9999999753791547,0.13686702993182365,0.2955487486151175
2024-05-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09036520580077638,-1.8922777139371294e-05,0.001854790503128806,-2.42651912243097e-05,-3.111780187431412e-05,False,False,4.686785933353795e-10,2.056597523263923e-09,0.9999999850302268,0.13670251797427188,0.29546081773341426
2024-05-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09035044851166195,-1.4757289114430971e-05,0.0014467365924404688,-1.8922777139371294e-05,-2.42651912243097e-05,False,False,2.850326480578346e-10,1.2505509171111837e-09,0.9999999908969192,0.13657419947208885,0.2953922324689269
2024-05-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09033893933302165,-1.1509178640303763e-05,0.0011284545421035657,-1.4757289114430971e-05,-1.8922777139371294e-05,False,False,1.7336100868464984e-10,7.605111932098893e-10,0.9999999944638338,0.1364741115422231,0.29533873646378483
2024-05-09 00:00:00+00:00,1.0,0.7,0.7777777777777777,1.0,0.6201662551820769,0.5298273158490553,0.3919913056539519,-1.1509178640303763e-05,-1.4757289114430971e-05,False,False,0.09357029562501637,0.05613900158935221,0.4511825115136006,0.41078214492037635,0.48167745131753137
2024-05-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.10197515004342954,-0.5181911051386474,0.3057532184100825,0.5298273158490553,-1.1509178640303763e-05,False,False,0.09156240124405404,0.05555191369594301,0.45591660697142644,0.17810768623753923,0.21082970952608376
2024-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09929652732329051,-0.0026786227201390234,0.23848751035986437,-0.5181911051386474,0.5298273158490553,False,False,0.08997241164402929,0.05508435247041905,0.4597392799030043,0.15723879202757596,0.200356210191376
2024-05-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09725084203935368,-0.002045685283936838,0.18602025808069422,-0.0026786227201390234,-0.5181911051386474,False,False,5.613155679230307e-06,0.05471409509409678,0.7851594764764392,0.17322236188759366,0.2728183288508908
2024-05-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09568139673806889,-0.0015694453012847914,0.1450958013029415,-0.002045685283936838,-0.0026786227201390234,False,False,3.286192663848973e-06,0.054422050673810035,0.7860750791136942,0.16040880699747945,0.26612383834289927
2024-05-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0944729909555776,-0.0012084057824912897,0.11317472501629437,-0.0015694453012847914,-0.002045685283936838,False,False,1.9399766221282554e-06,8.877409384720332e-06,0.9999362172553532,0.1717352356126547,0.31419675854407125
2024-05-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09353994207052264,-0.0009330488850549518,0.0882762855127096,-0.0012084057824912897,-0.0015694453012847914,False,False,1.152775475077998e-06,5.226291045905928e-06,0.9999623422081825,0.1638950967028402,0.3100019994142134
2024-05-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09281790958256848,-0.0007220324879541606,0.0688555026999135,-0.0009330488850549518,-0.0012084057824912897,False,False,6.885342478496959e-07,3.0989060373520454e-06,0.9999776206281824,0.1577815767058197,0.30673168535331685
2024-05-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09225820147368598,-0.0005597081088825062,0.05370729210593253,-0.0007220324879541606,-0.0009330488850549518,False,False,4.129105064405109e-07,1.8478263598254217e-06,0.9999866319418439,0.15301413141543854,0.30418185253819385
2024-05-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09182373595530485,-0.0004344655183811247,0.041891687842627374,-0.0005597081088825062,-0.0007220324879541606,False,False,2.484024425353261e-07,1.1066843517286893e-06,0.9999919826180951,0.14929619899671967,0.3021936168085703
2024-05-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09148613048364423,-0.00033760547166061805,0.032675516517249356,-0.0004344655183811247,-0.0005597081088825062,False,False,1.4980522584606456e-07,6.650908313353997e-07,0.9999951765168509,0.1463966248003176,0.30064318684862223
2024-05-20 00:00:00+00:00,1.0,0.6,0.6666666666666666,1.0,0.5791327438229519,0.48764661333930764,0.39215356955012115,-0.00033760547166061805,-0.0004344655183811247,False,False,0.07921156710461687,0.04744111003807983,0.4927756086789697,0.39857672926211407,0.4715833095137365
2024-05-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.1019802499416965,-0.47715249388125536,0.3058797842490945,0.48764661333930764,-0.00033760547166061805,False,False,0.07759730807693294,0.047014965471623996,0.49725319618622704,0.18228135487002967,0.2211853916547692
2024-05-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09930041228943218,-0.0026798376522643164,0.23858623171429372,-0.47715249388125536,0.48764661333930764,False,False,0.07632012505530626,0.04667601989841199,0.5008561258860803,0.16138164701866903,0.21065217237338024
2024-05-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09725381661332143,-0.002046595676110749,0.1860972607371491,-0.0026798376522643164,-0.47715249388125536,False,False,5.61820928530727e-06,0.04640791268971688,0.8116252357973656,0.17589322844620986,0.2794478063665745
2024-05-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.09568368342441692,-0.0015701331889045045,0.1451558633749763,-0.002046595676110749,-0.0026798376522643164,False,False,3.289099962618789e-06,0.04619663826712288,0.812337072073825,0.16305393958964215,0.2726994892369111
